
 ID     SSSSSSSS.mmmuuun  CH AMP
  1       39.4920340   5  51
  1       39.4926230   4  45
  1       39.5037093   6  47
  1       39.5117315   6  41
  1       39.5132515   5  49
  1       39.5202727   6  45
  1       39.5238505   5  51
  1       39.5255000   4  46
  1       39.5510160   4  46
  1       39.5612340   6  41
  1       39.5696600   6  46
  1       39.5844745   4  47
  1       39.6201500   6  45
  1       39.6280845   6  47
  1       39.6423805   4  46
  1       39.6589603   4  47
  1       39.6613582   6  47
  1       39.6803332   5  49
  1       39.6965788   5  52
  1       39.6971465   6  43
  1       39.7113668   6  45
  1       39.7260620   4  47
  1       39.7532205   6  45
  1       39.7592733   4  46
  1       39.7672640   4  44
  1       39.7760685   4  44
  1       39.7840195   4  47
  1       39.8107865   6  45
  1       39.8426268   4  47
  1       39.8444707   6  44
  1       39.8454250   3  45
  1       39.8517240   2  56
  1       39.8530432   6  45
  1       39.8616625   6  43
  1       39.8698595   6  43
  1       39.8777615   6  43
  1       39.8829350   5  47
  1       39.8945358   6  45
  1       39.8965832   5  49
  1       39.9035450   6  45
  1       39.9091790   4  46
  1       39.9112595   6  45
  1       39.9132905   5  50
  1       39.9266207   3  45
  1       39.9300733   5  51
  1       39.9427190   3  45
  1       39.9468063   5  48
  1       39.9593323   3  46
  1       39.9632638   5  51
  1       39.9751077   4  45
  1       39.9756388   3  45
  1       39.9791755   6  44
  1       39.9799202   5  59
  1       39.9835670   4  43
  1       39.9864192   6  46
  1       39.9915377   3  45
  1       39.9918528   4  44
  1       39.9947855   6  46
  1       39.9965725   5  52
  1       40.0082302   3  45
  1       40.0087020   4  44
  1       40.0116223   6  44
  1       40.0132093   5  50
  1       40.0168220   4  44
  1       40.0200855   6  44
  1       40.0253937   3  45
  1       40.0279623   4  45
  1       40.0299320   5  52
  1       40.0364423   6  47
  1       40.0420492   3  45
  1       40.0465912   5  50
  1       40.0535645   4  45
  1       40.0593745   3  45
  1       40.0631370   5  49
  1       40.0755932   4  45
  1       40.0761965   3  47
  1       40.0800938   5  51
  1       40.0965660   5  50
  1       40.1192858   6  45
  1       40.1239680   5  51
  1       40.1254797   3  47
  1       40.1277655   4  44
  1       40.1367875   6  47
  1       40.1752373   4  45
  1       40.2166930   4  50
  1       40.2195635   6  44
