
 ID     SSSSSSSS.mmmuuun  CH AMP
  1       13.6564610   2  40
  1       22.6067427   2  41
  1       62.6764605   2  40
  1      176.0612085   2  40
  1      176.4611643   2  40
  1      176.7111498   2  40
  1      176.8278255   2  41
  1      177.8777522   2  41
  1      178.0777418   2  40
  1      179.4108848   2  40
  1      179.4941905   2  41
  1      179.5775110   2  40
  1      180.3439758   2  41
  1      180.5439163   2  41
  1      180.6272038   2  41
  1      189.4375450   2  41
  1      197.4170015   2  40
  1      198.1836895   2  41
  1      198.2668025   2  40
  1      198.5500613   2  40
  1      199.3165435   2  40
  1      200.1664055   2  40
  1      200.3663615   2  40
  1      201.0162445   2  40
  1      201.9828122   2  40
  1      202.0661225   2  40
  1      202.4660890   2  40
  1      202.5494033   2  40
  1      203.2327075   2  40
  1      203.9159958   2  40
  1      204.2826440   2  40
  1      204.7660020   2  40
  1      205.9327295   2  40
  1      206.2160845   2  41
  1      207.6663072   2  40
  1      208.2664000   2  40
  1      209.2333388   2  40
  1      209.3166865   2  40
  1      210.6837270   2  41
  1      210.8837962   2  40
  1      211.0838513   2  40
  1      211.3672555   2  40
  1      211.5673457   2  41
  1      212.1674753   2  40
  1      212.4508787   2  40
  1      213.0176830   2  40
  1      213.3344210   2  40
  1      214.5846905   2  41
  1      214.7847370   2  41
  1      215.2681098   2  40
  1      215.5514765   2  40
  1      215.6348123   2  40
  1      217.2849410   2  40
  1      217.6515980   2  40
  1      217.8515828   2  40
  1      218.2515533   2  40
  1      218.4182008   2  40
  1      220.0344808   2  40
  1      220.6009385   2  41
  1      221.0840770   2  41
  1      221.1673823   2  40
  1      221.7337413   2  40
  1      222.1002113   2  40
  1      222.1834860   2  40
  1      223.4826237   2  40
  1      224.1321258   2  41
  1      224.7816063   2  40
  1      225.1479697   2  40
  1      225.5143075   2  41
  1      225.8806552   2  40
  1      226.2469783   2  40
  1      226.8963750   2  40
  1      226.9796495   2  41
  1      227.6290227   2  40
  1      228.2450845   2  40
  1      228.8112128   2  40
  1      228.9777125   2  40
  1      229.1775158   2  40
  1      230.1598983   2  41
  1      230.3597075   2  40
  1      230.9757635   2  40
  1      231.1755685   2  40
  1      232.1579560   2  40
